country,imports,exports
afghanistan,"['Unspecified products', 'Peat incl. peat litter whether or not agglomerated', 'Wheat or meslin flour', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Animal or vegetable fats and oils and their fractions boiled oxidised dehydrated sulphurised blown polymerised by heat in vacuum or in inert gas or otherwise chemically modified inedible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils n.e.s.', 'Setts curbstones and flagstones of natural stone (excl. slate)', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Woven fabrics of flax containing >= 85% flax by weight dyed made of yarn of different colours or printed', 'Electricity supply or production meters incl. calibrating meters therefor', 'Natural gas in gaseous state']","['Extracts of liquorice (excl. that with a sucrose content by weight of > 10% or in the form of confectionery)', 'Dried grapes', 'Fresh or dried figs', 'Coal whether or not pulverised non-agglomerated (excl. anthracite and bituminous coal)', 'Fresh grapes', 'Fresh or dried almonds shelled', 'Fresh or chilled onions and shallots', 'Fresh or dried pistachios shelled', 'Cumin seeds neither crushed nor ground', 'Saffron']"
angola,"['Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Durum wheat (excl. seed for sowing)', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Frozen cuts and edible offal of fowls of the species Gallus domesticus', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Soya-bean oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Unused postage revenue or similar stamps of current or new issue in the country in which they have or will have a recognised face value; stamp-impressed paper; banknotes; cheque forms; stock share or bond certificates and similar documents of title', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Cane or beet sugar and chemically pure sucrose in solid form (excl. cane and beet sugar containing added flavouring or colouring and raw sugar)']","['Petroleum oils and oils obtained from bituminous minerals crude', 'Natural gas liquefied', 'Industrial diamonds unworked or simply sawn cleaved or bruted', 'Floating or submersible drilling or production platforms', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Vessels incl. lifeboats (excl. warships rowing boats and other vessels of heading 8901 to 8905 and vessels for breaking up)', 'Propane liquefied', 'Vessels for the transport of goods and vessels for the transport of both persons and goods (excl. refrigerated vessels tankers ferry-boats and vessels principally designed for the transport of persons)', 'Naphthalene containing > 50% of naphthalene (excl. chemically defined)', 'Light-vessels fire-floats floating cranes and other vessels the navigability of which is subsidiary to their main function (excl. dredgers floating or submersible drilling or production platforms; fishing vessels and warships)']"
bangladesh,"['Cotton neither carded nor combed', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Durum wheat (excl. seed for sowing)', 'Vessels and other floating structures for breaking up', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output > 375 kVA', 'Waste and scrap of iron or steel (excl. slag scale and other waste of the production of iron and steel; radioactive waste and scrap; fragments of pigs blocks or other primary forms of pig iron or spiegeleisen; waste and scrap of cast iron alloy steel or tinned iron or steel; turnings shavings chips milling waste sawdust filings trimmings and stampings; waste and scrap of primary cells primary batteries and electric accumulators)', 'Cement clinkers', 'Crude soya-bean oil whether or not degummed']","['T-shirts singlets and other vests of cotton knitted or crocheted', ""Men's or boys' trousers bib and brace overalls breeches and shorts of cotton (excl. knitted or crocheted underpants and swimwear)"", ""Women's or girls' trousers bib and brace overalls breeches and shorts of cotton (excl. knitted or crocheted panties and swimwear)"", ""Men's or boys' shirts of cotton (excl. knitted or crocheted nightshirts singlets and other vests)"", 'Jerseys pullovers cardigans waistcoats and similar articles of cotton knitted or crocheted (excl. wadded waistcoats)', 'Jerseys pullovers cardigans waistcoats and similar articles of textile materials knitted or crocheted (excl. of wool fine animal hair cotton or man-made fibres and wadded waistcoats)', ""Men's or boys' shirts of cotton knitted or crocheted (excl. nightshirts T-shirts singlets and other vests)"", ""Men's or boys' shirts of textile materials (excl. of cotton or man-made fibres knitted or crocheted nightshirts singlets and other vests)"", ""Women's or girls' trousers bib and brace overalls breeches and shorts of cotton knitted or crocheted (excl. panties and swimwear)"", ""Women's or girls' trousers bib and brace overalls breeches and shorts of textile materials (excl. of wool fine animal hair cotton or synthetic fibres knitted or crocheted panties and swimwear)""]"
benin,"['Semi-milled or wholly milled rice whether or not polished or glazed', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Palm oil and its fractions whether or not refined (excl. chemically modified and crude)', 'Electrical energy', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Superphosphates (excl. such products containing by weight => 35 % of diphosphorus pentaoxide or in tablets or similar forms or in packages with a gross weight of <= 10 kg)', 'Frozen cuts and edible offal of fowls of the species Gallus domesticus', 'Urea whether or not in aqueous solution (excl. that in tablets or similar forms or in packages with a gross weight of <= 10 kg)', 'Frozen jack and horse mackerel ""Trachurus spp.""']","['Cotton neither carded nor combed', 'Fresh or dried cashew nuts in shell', 'Soya bean seed for sowing', 'Soya beans whether or not broken (excl. seed for sowing)', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Oilcake and other solid residues whether or not ground or in the form of pellets resulting from the extraction of soya-bean oil', 'Cotton seeds (excl. for sowing)', 'Fresh or dried cashew nuts shelled', 'Bars and rods of iron or non-alloy steel with indentations ribs groves or other deformations produced during the rolling process', 'Bars and rods hot-rolled in irregularly wound coils of iron or non-alloy steel of circular cross-section measuring < 14 mm in diameter (excl. bars and rods of free-cutting steel and bars and rods with indentations ribs grooves or other deformations produced during the rolling process)']"
bhutan,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Ferrous products obtained by direct reduction of iron ore in lumps pellets or similar forms', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Wire of refined copper with a maximum cross-sectional dimension of > 6 mm', 'Wood charcoal whether or not agglomerated (excl. of bamboo or shell or nut charcoal used as a medicament charcoal mixed with incense activated charcoal and charcoal in the form of crayons)', 'Towers and lattice masts of iron or steel', 'Waste and scrap of cast iron (excl. radioactive)', 'Coke and semi-coke of coal of lignite or of peat whether or not agglomerated; retort carbon', 'Parts of hydraulic turbines and water wheels incl. regulators', 'Coal whether or not pulverised non-agglomerated (excl. anthracite and bituminous coal)']","['Electrical energy', 'Ferro-silicon containing by weight > 55% of silicon', 'Bars and rods of non-alloy free-cutting steel not further worked than hot-rolled hot-drawn or hot-extruded (excl. containing indentations ribs grooves or other deformations produced during the rolling process or twisted after rolling)', 'Wire of refined copper with a maximum cross-sectional dimension of <= 6 mm', 'Portland cement (excl. white whether or not artificially coloured)', 'Semi-finished products of iron or non-alloy steel containing by weight < 025% of carbon of rectangular ""other than square"" cross-section the width measuring >= twice the thickness', 'Crude dolomite not calcined or not sintered incl. dolomite roughly trimmed or merely cut by sawing or otherwise into blocks or slabs of a rectangular ""incl. square"" shape (excl. broken or crushed dolomite for concrete aggregates road metalling or railway or other ballast)', 'Carbides of calcium whether or not chemically defined', 'Carbides of silicon whether or not chemically defined', 'Gypsum; anhydrite']"
burkina-faso,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Cement clinkers', 'Electrical energy', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Butanes liquefied (excl. of a purity of >= 95% of N-butane or isobutane)', 'Broken rice', 'Mineral or chemical fertilisers containing the three fertilising elements nitrogen phosphorus and potassium (excl. those in tablets or similar forms or in packages with a gross weight of <= 10 kg)', 'Cane or beet sugar and chemically pure sucrose in solid form (excl. cane and beet sugar containing added flavouring or colouring and raw sugar)']","['Gold incl. gold plated with platinum in semi-manufactured forms for non-monetary purposes', 'Cotton neither carded nor combed', 'Portland cement (excl. white whether or not artificially coloured)', 'Fresh or dried cashew nuts in shell', 'Oil seeds and oleaginous fruits whether or not broken (excl. edible nuts olives soya beans groundnuts copra linseed rape or colza seeds sunflower seeds palm nuts and kernels cotton castor oil sesamum mustard safflower melon and poppy seeds)', 'Sesamum seeds whether or not broken', 'Fresh or dried guavas mangoes and mangosteens', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Fixed vegetable fats and oils and their fractions whether or not refined but not chemically modified (excl. soya-bean groundnut olive palm sunflower-seed safflower cotton-seed coconut palm kernel babassu rape colza and mustard linseed maize castor and sesame oil and microbial oils)', 'Dumpers for off-highway use']"
burundi,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Superphosphates containing by weight => 35 % of diphosphorus pentaoxide ""P2O5"" (excl. such products in tablets or similar forms or in packages with a gross weight of <= 10 kg)', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Portland cement (excl. white whether or not artificially coloured)', 'Flat-rolled products of stainless steel of a width of >= 600 mm not further worked than hot-rolled in coils of a thickness of < 3 mm', 'Cane or beet sugar and chemically pure sucrose in solid form (excl. cane and beet sugar containing added flavouring or colouring and raw sugar)', 'Bars and rods of iron or non-alloy steel with indentations ribs groves or other deformations produced during the rolling process', 'Worn clothing and clothing accessories blankets and travelling rugs household linen and articles for interior furnishing of all types of textile materials incl. all types of footwear and headgear showing signs of appreciable wear and presented in bulk or in bales sacks or similar packings (excl. carpets other floor coverings and tapestries)']","['Coffee (excl. roasted and decaffeinated)', 'Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Black fermented tea and partly fermented tea whether or not flavoured in immediate packings of > 3 kg', 'Cigarettes containing tobacco', 'Beer made from malt', 'Wheat or meslin flour', 'Niobium tantalum or vanadium ores and concentrates', 'Flat-rolled products of iron or non-alloy steel of a width of >= 600 mm hot-rolled or cold-rolled ""cold-reduced"" corrugated plated or coated with zinc (excl. electrolytically plated or coated with zinc)', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Carboys bottles flasks jars pots phials and other containers of glass of a kind used for the commercial conveyance or packing of goods and preserving jars of glass (excl. ampoules glass inners for containers with vacuum insulation perfume atomizers flasks bottles etc. for atomizers)']"
cambodia,"['Fabrics knitted or crocheted of a width of > 30 cm (excl. of man-made fibres cotton wool or fine animal hair warp knit fabrics ""incl. those made on galloon knitting machines"" those containing by weight >= 5% of elastomeric yarn or rubber thread and pile fabrics incl. ""long pile"" looped pile fabrics labels badges and similar articles and knitted or crocheted fabrics impregnated coated covered or laminated)', 'Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Woven fabrics containing predominantly but < 85% synthetic staple fibres other than those mixed principally or solely with man-made filament or cotton (excl. those of acrylic modacrylic or polyester staple fibres)', 'Knitted or crocheted fabrics of a width of > 30 cm containing >= 5% by weight elastomeric yarn and rubber thread or rubber thread only (excl. pile fabrics incl. ""long pile"" looped pile fabrics labels badges and similar articles and knitted or crocheted fabrics impregnated coated covered or laminated)', 'Coal whether or not pulverised non-agglomerated (excl. anthracite and bituminous coal)', 'Raw furskins of mink whole with or without heads tails or paws', 'Motorcycles incl. mopeds with reciprocating internal combustion piston engine of a cylinder capacity > 50 cm³ but <= 250 cm³', 'Electrical energy', 'Natural gas liquefied']","['Rice in the husk ""paddy"" or rough', 'Jerseys pullovers cardigans waistcoats and similar articles of cotton knitted or crocheted (excl. wadded waistcoats)', 'Jerseys pullovers cardigans waistcoats and similar articles of man-made fibres knitted or crocheted (excl. wadded waistcoats)', 'Photovoltaic cells assembled in modules or made up into panels', 'Fresh chilled frozen or dried roots and tubers of manioc ""cassava"" whether or not sliced or in the form of pellets', 'Handbags whether or not with shoulder straps incl. those without handles with outer surface of plastic sheeting or textile materials', 'New pneumatic tyres of rubber of a kind used for motor cars incl. station wagons and racing cars', ""Women's or girls' trousers bib and brace overalls breeches and shorts of cotton (excl. knitted or crocheted panties and swimwear)"", 'Travelling-bags insulated food or beverage bags toilet bags rucksacks shopping-bags map-cases tool bags sports bags jewellery boxes cutlery cases binocular cases camera cases musical instrument cases gun cases holsters and similar containers with outer surface of plastic sheeting or textile materials (excl. trunks briefcases school satchels and similar containers handbags and articles carried in the pocket or handbag)', ""Women's or girls' trousers bib and brace overalls breeches and shorts of synthetic fibres knitted or crocheted (excl. panties and swimwear)""]"
cameroon,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Wheat and meslin (excl. seed for sowing and durum wheat)', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Cement clinkers', 'Semi-finished products of iron or non-alloy steel containing by weight < 025% of carbon of square or rectangular cross-section the width measuring < twice the thickness', 'Frozen jack and horse mackerel ""Trachurus spp.""', 'Butanes liquefied (excl. of a purity of >= 95% of N-butane or isobutane)', 'Crude palm oil']","['Petroleum oils and oils obtained from bituminous minerals crude', 'Cocoa beans whole or broken raw or roasted', 'Natural gas liquefied', 'Cotton neither carded nor combed', 'Tropical wood sawn or chipped lengthwise sliced or peeled whether or not planed sanded or end-jointed of a thickness of > 6 mm (excl. virola mahogany ""Swietenia spp."" imbuia balsa teak dark red meranti light red meranti meranti bakau white lauan white meranti white seraya yellow meranti alan sapelli and iroko)', 'Tropical wood in the rough whether or not stripped of bark or sapwood or roughly squared (excl. teak dark red meranti light red meranti meranti bakau; rough-cut wood for walking sticks umbrellas tool shafts and the like; wood cut into boards or beams etc.; wood treated with paint stains creosote or other preservatives)', 'Cocoa paste wholly or partly defatted', 'Cocoa butter fat and oil', 'Sapelli sawn or chipped lengthwise sliced or peeled whether or not planed sanded or end-jointed of a thickness of > 6 mm', 'Aluminium not alloyed unwrought']"
central-african-republic,"['Medium oils and preparations of petroleum or bituminous minerals not containing biodiesel n.e.s.', 'Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics hormones or steroids used as hormones alkaloids provitamins vitamins their derivatives antimalarial active principles and blinded clinical trial kits)', 'Light oils and preparations of petroleum or bituminous minerals which >= 90% by volume ""incl. losses"" distil at 210°C ""ASTM D 86 method"" (excl. containing biodiesel)', 'Tanks and other armoured fighting vehicles motorised whether or not fitted with weapons and parts of such vehicles n.e.s.', 'Motor cars and other motor vehicles principally designed for the transport of <10 persons incl. station wagons and racing cars with only diesel engine of a cylinder capacity > 2.500 cm³ (excl. vehicles for travelling on snow and other specially designed vehicles of subheading 8703.10)', 'Special purpose motor vehicles (other than those principally designed for the transport of persons or goods and excl. concrete-mixer lorries fire fighting vehicles mobile drilling derricks and crane lorries)', 'Semi-milled or wholly milled rice whether or not polished or glazed', 'Table kitchen or other household articles and parts thereof of iron other than cast iron or steel other than stainless (excl. enamelled articles; cans boxes and similar containers of heading 7310; waste baskets; shovels and other articles of the nature of a work implement; cutlery spoons ladles etc. of heading 8211 to 8215; ornamental articles; sanitary ware)', 'Parts and accessories for tractors motor vehicles for the transport of ten or more persons motor cars and other motor vehicles principally designed for the transport of persons motor vehicles for the transport of goods and special purpose motor vehicles n.e.s.', 'Frozen cuts and edible offal of fowls of the species Gallus domesticus']","['Gold incl. gold plated with platinum unwrought for non-monetary purposes (excl. gold in powder form)', 'Industrial diamonds unworked or simply sawn cleaved or bruted', 'Teak wood in the rough whether or not stripped of bark or sapwood or roughly squared (excl. rough-cut wood for walking sticks umbrellas tool shafts and the like; wood cut into boards or beams etc.; wood treated with paint stains creosote or other preservatives)', 'Tropical wood in the rough whether or not stripped of bark or sapwood or roughly squared (excl. teak dark red meranti light red meranti meranti bakau; rough-cut wood for walking sticks umbrellas tool shafts and the like; wood cut into boards or beams etc.; wood treated with paint stains creosote or other preservatives)', 'Parts and accessories for tractors motor vehicles for the transport of ten or more persons motor cars and other motor vehicles principally designed for the transport of persons motor vehicles for the transport of goods and special purpose motor vehicles n.e.s.', 'Tropical wood sawn or chipped lengthwise sliced or peeled whether or not planed sanded or end-jointed of a thickness of > 6 mm (excl. virola mahogany ""Swietenia spp."" imbuia balsa teak dark red meranti light red meranti meranti bakau white lauan white meranti white seraya yellow meranti alan sapelli and iroko)', 'Teak sawn or chipped lengthwise sliced or peeled of a thickness of > 6 mm sanded or end-jointed whether or not planed', 'Headgear whether or not lined or trimmed n.e.s.', 'Cotton carded or combed', 'Parts of machinery of heading 8426 8429 and 8430 n.e.s.']"
